session_id,title,description,speakers,speaker_company,speaker_title,track,format,day,time,duration_min,room,level,tags,persona_fit,catalog_url
TC1,Training // Track 1 - Snowflake GenAI Essentials Training,"Spend the day learning how to turn your data into intelligent, AI-powered results with gen AI on Snowflake. Build, prompt and deploy real generative AI solutions to deliver measurable impact, all in a secure, scalable, environment.",,,,Training,Snowflake Training,Monday June 1,09:00 AM - 04:30 PM,450,"Room 158 (Moscone South, Upper Mezzanine)",Intermediate,"AI,GenAI",All,https://reg.snowflake.com/flow/snowflake/summit26/sessions/page/catalog?search=TC1&tab.sessioncatalogtab=1714168666431001NNiH
TC2,Training // Track 2 - Snowflake Accelerator Training,"Jumpstart your platform skills with this one-day Summit course for early to intermediate users. We'll move beyond theory with a hands-on exploration of curated, key features, from core tools to new AI. You'll leave with practical skills from Snowflake experts to solve complex problems and immediately unlock more value.",,,,Training,Snowflake Training,Monday June 1,09:00 AM - 04:30 PM,450,"Moscone South, Upper Mezzanine, Rm 154",Intermediate,AI,All,https://reg.snowflake.com/flow/snowflake/summit26/sessions/page/catalog?search=TC2&tab.sessioncatalogtab=1714168666431001NNiH
TC3-M,Training // Track 3 - Snowflake Platform Training + Exam - Monday,"This session is designed for individuals with limited experience using Snowflake and provides a walkthrough of the AI Data Cloud architecture through interactive labs, guiding learners how to unify, integrate and share previously siloed data with virtually unlimited scalability and concurrency.",,,,Training,Snowflake Training,Monday June 1,09:00 AM - 03:00 PM,360,"Room 153 (Moscone South, Upper Mezzanine)",Intermediate,AI,All,https://reg.snowflake.com/flow/snowflake/summit26/sessions/page/catalog?search=TC3-M&tab.sessioncatalogtab=1714168666431001NNiH
DE234,Accelerating AI Readiness: Data to Real-Time Answers with Snowflake Intelligence,"This session shows how Daimler Truck North America accelerated AI readiness in manufacturing by placing Snowflake Intelligence at the center of their data platform. They ingest real-time data from enterprise and mainframe systems using Snowpipe Streaming and Kafka to enable low-latency operational visibility. Pipelines are orchestrated with dbt, with Dynamic Tables automating CDC and delivering near real-time datasets. As streaming scaled, they applied Dynamic Table best practices and Gen2 warehouses to control costs. We conclude by demonstrating how Snowflake Intelligence, powered by semantic models and Cortex Analyst, enables teams to ask real-time operational questions to move beyond dashboards.",Venu Mashetty; Rangi Devanathan,DAIMLER TRUCK NORTH AMERICA,Data & AI Engineering Lead,Data Engineering,Breakout Session,Monday June 1,01:00 PM - 01:45 PM,45,"Room 210 (Moscone South, Level 2)",Intermediate,"AI,ML,Cortex,Streaming,dbt,Pipeline,CDC,Dynamic Tables",Data Engineer;Data Scientist;Architect;Developer;Analyst;Executive,https://reg.snowflake.com/flow/snowflake/summit26/sessions/page/catalog?search=DE234&tab.sessioncatalogtab=1714168666431001NNiH
PO204,"Agent Monday: Automated, Personalized Shopper Insights at Scale","What if every stakeholder received curated, actionable shopper insights — automatically? Meet Agent Monday, an AI-powered agent that synthesizes behavioral data and delivers tailored insights directly to inboxes. Explore the architecture, personalization logic and governance guardrails that turn raw retail data into decision-ready intelligence at scale.",Chelsea Tindell,8451,"Group Director, Product",Platform & Optimization,Breakout Session,Monday June 1,01:00 PM - 01:45 PM,45,"Room 216 (Moscone South, Level 2)",Intermediate,"AI,Governance,Retail,Intelligence",Architect;Analyst;Security,https://reg.snowflake.com/flow/snowflake/summit26/sessions/page/catalog?search=PO204&tab.sessioncatalogtab=1714168666431001NNiH
GO225,Automated Data Classification and Pseudonymization for Securely Sharing Data,"Struggling with manual data governance? Learn how to build an enterprise-grade data pseudonymization framework leveraging Snowflake native capabilities. Join Snowflake Data Superhero Chris Hastie as he demonstrates automated data classification and tag-based dynamic data masking for policy-driven protection and secure sharing of pseudonymized data. Walk away with production-ready patterns for automated PII detection across your estate, reusable masking policies that adapt to tag values and real-time secure sharing with context-aware access control. Transform weeks of manual work into automated, scalable solutions that maintain analytical utility while ensuring privacy compliance.",Chris Hastie,Aimpoint Digital,Data Superhero | Principal Data Engineer,Governance & Security,Theater Session,Monday June 1,01:00 PM - 01:20 PM,20,"Builders Hub Theater (Basecamp, South Hall D)",Intermediate,"AI,RAG,Governance,Classification,Masking,Real-time",Developer;Analyst;Executive;Security,https://reg.snowflake.com/flow/snowflake/summit26/sessions/page/catalog?search=GO225&tab.sessioncatalogtab=1714168666431001NNiH
DM113,Aviva's Internal Marketplace Playbook: From 29 Silos to One Source of Truth,"With 29 business units and hundreds of disparate data products, Aviva faced a fragmented landscape that hindered cross-organizational agility. While an initial migration to Snowflake delivered 60% cost savings, the true challenge remained: scaling a consistent operating model. This session reveals how Aviva is using Snowflake Internal Marketplace to consolidate these silos into a single source of truth. By industrializing data products, Aviva has enabled rapid prototyping and high-velocity collaboration across the group. Learn how this shift from fragmentation to a unified marketplace is pivotal to reaching Aviva's £2 billion profit target and fostering a culture of continuous innovation.",Libby Hickey; Andy Mcphee,Aviva,Head of Data Platforms & Enablement,Data Marketplace,Breakout Session,Monday June 1,01:00 PM - 01:45 PM,45,"Room 208 (Moscone South, Level 2)",Beginner,"AI,NiFi,RAG,Marketplace,Migration,Cost",Data Engineer;Data Scientist;Architect;Developer;Executive,https://reg.snowflake.com/flow/snowflake/summit26/sessions/page/catalog?search=DM113&tab.sessioncatalogtab=1714168666431001NNiH
AR108,Build an Iceberg Lakehouse with Snowflake and Microsoft Fabric OneLake,"As data volumes increase and AI workloads proliferate, copying and ETL-ing data across systems is no longer sustainable. This hands-on workshop walks through building a fully interoperable, open lakehouse by integrating Snowflake and Microsoft OneLake. Learn how to leverage Apache Iceberg™ to create an open, governed data foundation that allows both Snowflake and Microsoft Fabric engines to operate on the same datasets without data duplication or complex pipelines. You will use sample data in Fabric, create an external volume and set up Microsoft OneLake as a catalog-linked database in Snowflake, create Iceberg tables in OneLake and query them both from Snowflake and Fabric.",Narendra Joshi; Eric Tolotti,Microsoft,Principal Cloud Solution Architect,Architecture,Hands-on Lab,Monday June 1,01:00 PM - 02:30 PM,90,"Hands-on Labs 3 (Basecamp, Hall E)",Beginner,"AI,Iceberg,RAG,Pipeline,ETL,Microsoft,Fabric",Data Engineer;Architect;Developer;Security,https://reg.snowflake.com/flow/snowflake/summit26/sessions/page/catalog?search=AR108&tab.sessioncatalogtab=1714168666431001NNiH
AI221,Cortex AI Functions: Unstructured Data in Manufacturing and Customer Analytics,"Unlock the power of your unstructured data by turning manual bottlenecks into high-speed engines for growth. In this session, we explore how Snowflake Cortex AI revolutionized two critical workflows: manufacturing verification and customer sentiment analysis. By leveraging Cortex AI Functions and Streamlit, we slashed document verification times from 340 minutes to just 10 (a 97% reduction) and accelerated feedback parsing by 90%. Join us to learn how to transform complex PDFs and subjective comments into objective, AI-ready assets that drive faster, more strategic decision-making.",Yuta Watanabe; Kotone Yoshioka,Panasonic Connect,Data Architecture Manager,AI & ML,Breakout Session,Monday June 1,01:00 PM - 01:45 PM,45,"Room 152 (Moscone South, Upper Mezzanine)",Intermediate,"AI,ML,Cortex,Streamlit,RAG,Analytics",Data Scientist;Developer;Analyst;Executive,https://reg.snowflake.com/flow/snowflake/summit26/sessions/page/catalog?search=AI221&tab.sessioncatalogtab=1714168666431001NNiH
PO218,Driving Continuous Price-Performance Optimization at T-Mobile with Snowflake ,"Optimization isn’t a one-time event — it’s a continuous discipline. T-Mobile shares how they embedded telemetry-driven decision-making, automated cost controls and workload segmentation to sustain price-performance improvements over time. Learn how to operationalize optimization as an ongoing capability.",Chris James; Nic Vasu,T-Mobile USA,Principal Architect,Platform & Optimization,Breakout Session,Monday June 1,01:00 PM - 01:45 PM,45,"Room 212 (Moscone South, Level 2)",Intermediate,"AI,Performance,Cost,Optimization",Executive,https://reg.snowflake.com/flow/snowflake/summit26/sessions/page/catalog?search=PO218&tab.sessioncatalogtab=1714168666431001NNiH
